"Date","AEX_disc_return","Portfolio_disc_return","MSCI_disc_return","Date.y","new_cases_per_million","reproduction_rate","dMonday","dPeriod","AEX_cont_return","Portfolio_cont_return","MSCI_cont_return"
2020-10-26,-1.5135115633005,-2.78580635500543,-1.51913526146654,2020-10-25,596.107,1.2,1,0,-1.52508204506335,-2.82534600280679,-1.53079232961244
2020-10-27,-0.0549500870043169,-2.62271595564901,-0.268728078594252,2020-10-26,603.56,1.19,0,0,-0.0549651900976505,-2.65772259043529,-0.269089800673231
2020-10-28,-2.11857417758635,-2.23202052206907,-2.89398631742865,2020-10-27,600.998,1.15,0,0,-2.14133804742177,-2.25730707582018,-2.93668797293632
2020-10-29,0.0636596828249767,-2.41262429761578,0.436043892682744,2020-10-28,474.929,1.11,0,0,0.0636394286442679,-2.44220482467666,0.435095975857669
2020-10-30,-0.102913384353415,2.29620921182509,-1.14996142875082,2020-10-29,600.998,1.09,0,0,-0.102966376537302,2.27024306800309,-1.15662461717522
2020-11-02,1.87869933318348,0.992950675938802,1.24137931034483,2020-11-01,507.247,0.98,1,0,1.86126973866202,0.988053312962908,1.23373737598408
2020-11-03,1.94333621371184,1.13721161458476,1.83744442850997,2020-11-02,484.013,0.94,0,0,1.92469456171583,1.1307939722543,1.82076739606345
2020-11-04,1.94416390131294,0.821107048490896,1.90638807231247,2020-11-03,452.86,0.9,0,0,1.92550646789021,0.817754305136664,1.88844418960139
2020-11-05,1.12160775572304,0.545128989785536,2.15228356249569,2020-11-04,447.211,0.87,0,0,1.1153643767081,0.543648539513399,2.12944900182862
2020-11-06,0.227431770468851,-1.42338953880394,0.233352497548107,2020-11-05,407.149,0.82,0,0,0.227173535881963,-1.43361689376563,0.233080653428766
2020-11-09,3.67079769593297,12.1850073762384,1.30406910047912,2020-11-08,331.856,0.76,1,0,3.60502858859862,11.4979174074312,1.2956393270059
2020-11-10,-0.346842220463682,9.35000310314372,0.0416326666555646,2020-11-09,273.509,0.75,0,0,-0.347445112553049,8.93835895127711,0.0416240026655079
2020-11-11,1.24013719228885,-0.188080145109958,0.724106934780441,2020-11-10,275.081,0.77,0,0,1.23251048073217,-0.188257237900638,0.721497867900733
2020-11-12,0.140184576358859,-0.424188918684141,-0.623047811069425,2020-11-11,318.463,0.79,0,0,0.140086409514078,-0.425091152231594,-0.624996853806556
