"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2020","22.95","22.15","23.25","22.15","24.21K","3.15%"
"Dec 14, 2020","22.25","23.05","23.45","22.20","19.72K","-4.30%"
"Dec 11, 2020","23.25","22.95","23.25","22.30","30.86K","1.31%"
"Dec 10, 2020","22.95","23.00","23.20","22.80","14.48K","-0.65%"
"Dec 09, 2020","23.10","23.25","23.30","23.00","14.55K","-1.07%"
"Dec 08, 2020","23.35","23.55","23.70","23.35","8.62K","-0.85%"
"Dec 07, 2020","23.55","23.90","23.90","23.55","10.83K","-1.88%"
"Dec 04, 2020","24.00","23.75","24.05","23.75","24.38K","1.91%"
"Dec 03, 2020","23.55","23.25","23.75","23.25","16.76K","1.29%"
"Dec 02, 2020","23.25","22.95","23.25","22.90","20.17K","0.65%"
"Dec 01, 2020","23.10","22.70","23.10","22.70","23.55K","0.87%"
"Nov 30, 2020","22.90","23.25","23.40","22.80","36.52K","-1.51%"
"Nov 27, 2020","23.25","23.75","23.75","23.25","19.29K","-1.48%"
"Nov 26, 2020","23.60","24.05","24.25","23.00","49.62K","-2.48%"
"Nov 25, 2020","24.20","24.45","24.50","24.15","72.42K","-1.02%"
"Nov 24, 2020","24.45","24.65","24.80","24.45","45.51K","0.20%"
"Nov 23, 2020","24.40","24.70","24.75","24.25","37.78K","-1.21%"
"Nov 20, 2020","24.70","24.85","25.00","24.50","41.67K","-0.80%"
"Nov 19, 2020","24.90","24.95","25.00","24.55","15.64K","-0.40%"
"Nov 18, 2020","25.00","25.25","25.40","24.90","37.88K","-0.79%"
"Nov 17, 2020","25.20","25.00","25.20","24.75","16.72K","0.00%"
"Nov 16, 2020","25.20","24.75","25.50","24.75","36.42K","1.00%"
"Nov 13, 2020","24.95","24.85","25.30","24.75","16.13K","-0.60%"
"Nov 12, 2020","25.10","25.00","25.50","24.80","21.49K","0.00%"
"Nov 11, 2020","25.10","25.25","25.50","24.90","28.62K","0.00%"
"Nov 10, 2020","25.10","23.95","25.60","23.95","86.14K","3.51%"
"Nov 09, 2020","24.25","23.15","24.40","22.95","76.78K","5.66%"
"Nov 06, 2020","22.95","23.15","23.45","22.75","15.34K","-0.86%"
"Nov 05, 2020","23.15","22.75","23.15","22.70","16.31K","1.98%"
"Nov 04, 2020","22.70","22.75","22.90","22.30","37.53K","-0.66%"
"Nov 03, 2020","22.85","22.65","23.00","22.55","13.41K","0.66%"
"Nov 02, 2020","22.70","22.70","23.00","22.50","10.21K","0.00%"
"Oct 30, 2020","22.70","22.05","22.70","21.90","15.57K","4.61%"
"Oct 29, 2020","21.70","22.50","23.10","21.70","62.47K","-4.62%"
"Oct 28, 2020","22.75","22.80","22.80","22.15","33.36K","-0.44%"
"Oct 27, 2020","22.85","23.00","23.10","22.60","15.83K","-0.65%"
"Oct 26, 2020","23.00","22.75","23.00","22.75","33.40K","0.00%"
"Oct 23, 2020","23.00","22.60","23.15","21.50","23.41K","1.77%"
"Oct 22, 2020","22.60","23.15","23.30","22.45","23.51K","-2.38%"
"Oct 21, 2020","23.15","23.00","23.30","22.55","22.43K","0.87%"
"Oct 20, 2020","22.95","23.30","23.45","22.95","20.80K","-1.92%"
"Oct 19, 2020","23.40","22.90","23.40","22.85","17.40K","2.86%"
"Oct 16, 2020","22.75","22.90","23.30","22.70","23.63K","-1.09%"
"Oct 15, 2020","23.00","22.95","23.10","22.40","30.51K","-0.65%"
"Oct 14, 2020","23.15","22.65","23.30","22.65","17.70K","0.43%"
"Oct 13, 2020","23.05","22.75","23.10","22.35","35.19K","0.44%"
"Oct 12, 2020","22.95","22.85","23.05","22.65","21.97K","0.00%"
"Oct 09, 2020","22.95","23.40","23.75","22.90","21.13K","-2.55%"
"Oct 08, 2020","23.55","23.45","23.80","22.90","32.11K","2.17%"
"Oct 07, 2020","23.05","23.35","23.55","23.05","21.21K","-1.71%"
"Oct 06, 2020","23.45","23.55","23.85","23.25","23.71K","-0.42%"
"Oct 05, 2020","23.55","23.70","23.90","23.35","10.12K","-0.63%"
"Oct 02, 2020","23.70","23.30","23.70","23.25","14.07K","1.94%"
"Oct 01, 2020","23.25","22.75","23.35","22.55","17.07K","1.97%"
"Sep 30, 2020","22.80","22.40","22.95","22.40","50.57K","1.79%"
"Sep 29, 2020","22.40","22.75","22.80","22.20","20.33K","-2.40%"
