"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 11, 2021","33.85","33.15","33.95","33.15","24.51K","2.27%"
"Mar 10, 2021","33.10","33.50","33.95","32.60","41.29K","-1.19%"
"Mar 09, 2021","33.50","33.15","34.05","33.15","27.33K","0.30%"
"Mar 08, 2021","33.40","33.60","33.85","33.25","28.40K","1.06%"
"Mar 05, 2021","33.05","33.95","33.95","32.95","28.71K","-1.20%"
"Mar 04, 2021","33.45","33.55","33.90","33.40","22.44K","-0.74%"
"Mar 03, 2021","33.70","33.75","33.95","33.65","18.06K","-0.44%"
"Mar 02, 2021","33.85","33.80","33.85","33.65","20.36K","0.59%"
"Mar 01, 2021","33.65","33.40","33.80","33.35","38.50K","0.75%"
"Feb 26, 2021","33.40","33.25","33.40","32.75","44.98K","0.45%"
"Feb 25, 2021","33.25","32.50","33.45","32.50","28.88K","1.68%"
"Feb 24, 2021","32.70","32.70","33.05","32.65","25.96K","-0.30%"
"Feb 23, 2021","32.80","32.50","32.95","32.30","16.27K","1.39%"
"Feb 22, 2021","32.35","31.80","32.35","31.50","9.80K","1.73%"
"Feb 19, 2021","31.80","32.25","32.30","31.60","21.45K","-1.24%"
"Feb 18, 2021","32.20","32.35","32.85","32.15","17.73K","-1.53%"
"Feb 17, 2021","32.70","32.25","32.70","32.20","35.09K","1.40%"
"Feb 16, 2021","32.25","32.50","32.50","31.95","8.18K","-0.15%"
"Feb 15, 2021","32.30","32.25","32.35","31.75","12.58K","0.62%"
"Feb 12, 2021","32.10","32.25","32.25","31.90","11.96K","-0.16%"
"Feb 11, 2021","32.15","31.75","32.20","31.30","26.27K","2.39%"
"Feb 10, 2021","31.40","31.90","31.90","31.25","51.29K","-0.79%"
"Feb 09, 2021","31.65","32.00","32.10","31.60","23.58K","-2.01%"
"Feb 08, 2021","32.30","32.40","32.70","32.05","19.30K","-0.15%"
"Feb 05, 2021","32.35","32.65","32.65","32.05","12.60K","0.15%"
"Feb 04, 2021","32.30","33.25","33.25","32.10","33.70K","-1.82%"
"Feb 03, 2021","32.90","33.50","33.80","32.85","15.33K","-1.79%"
"Feb 02, 2021","33.50","33.60","33.95","33.30","14.26K","0.30%"
"Feb 01, 2021","33.40","34.20","34.20","32.95","35.63K","-1.62%"
"Jan 29, 2021","33.95","34.00","34.25","33.75","23.76K","0.00%"
"Jan 28, 2021","33.95","33.65","33.95","32.95","20.46K","0.74%"
"Jan 27, 2021","33.70","34.25","34.95","33.70","28.69K","-0.59%"
"Jan 26, 2021","33.90","33.90","34.45","33.40","17.07K","1.35%"
"Jan 25, 2021","33.45","34.50","34.50","32.95","21.36K","-2.34%"
"Jan 22, 2021","34.25","34.00","34.30","32.45","37.68K","1.48%"
"Jan 21, 2021","33.75","34.00","34.25","33.75","19.10K","-1.03%"
"Jan 20, 2021","34.10","34.25","34.40","34.10","15.07K","-0.29%"
"Jan 19, 2021","34.20","33.75","34.30","33.75","19.97K","1.18%"
"Jan 18, 2021","33.80","32.95","34.00","32.80","15.91K","2.42%"
"Jan 15, 2021","33.00","33.45","33.45","32.70","9.19K","0.15%"
"Jan 14, 2021","32.95","33.15","33.65","32.95","40.82K","0.00%"
"Jan 13, 2021","32.95","32.85","33.00","32.80","16.26K","0.30%"
"Jan 12, 2021","32.85","33.40","33.70","32.85","15.69K","-1.35%"
"Jan 11, 2021","33.30","32.80","33.75","32.80","10.96K","0.15%"
"Jan 08, 2021","33.25","33.00","33.65","32.50","21.49K","0.76%"
"Jan 07, 2021","33.00","32.90","33.05","32.55","22.16K","0.15%"
"Jan 06, 2021","32.95","33.25","33.25","32.80","7.00K","-0.30%"
"Jan 05, 2021","33.05","32.70","33.10","32.70","14.60K","0.61%"
"Jan 04, 2021","32.85","32.65","32.95","32.65","18.85K","0.15%"
"Dec 31, 2020","32.80","33.20","33.20","32.35","8.70K","-0.30%"
"Dec 30, 2020","32.90","33.90","33.90","32.90","20.98K","-2.95%"
"Dec 29, 2020","33.90","33.30","33.90","33.25","16.56K","1.80%"
"Dec 28, 2020","33.30","33.00","33.30","33.00","8.00K","1.52%"
"Dec 24, 2020","32.80","32.50","33.00","32.50","2.55K","-0.30%"
"Dec 23, 2020","32.90","32.05","32.90","31.95","12.95K","2.65%"
"Dec 22, 2020","32.05","32.60","32.75","32.05","19.39K","0.00%"
"Dec 21, 2020","32.05","33.30","33.30","31.80","37.78K","-4.04%"
"Dec 18, 2020","33.40","34.35","34.50","32.95","47.25K","-3.19%"
"Dec 17, 2020","34.50","34.40","34.85","34.25","19.11K","0.29%"
"Dec 16, 2020","34.40","33.50","34.45","33.50","26.58K","2.84%"
"Dec 15, 2020","33.45","33.10","33.45","33.10","19.97K","0.90%"
"Dec 14, 2020","33.15","33.15","33.35","33.10","18.97K","0.00%"
"Dec 11, 2020","33.15","33.15","33.20","33.00","19.63K","0.30%"
"Dec 10, 2020","33.05","33.25","33.50","33.05","16.36K","-0.15%"
"Dec 09, 2020","33.10","33.35","33.40","32.95","11.29K","-1.19%"
"Dec 08, 2020","33.50","33.45","33.70","33.35","11.58K","0.00%"
"Dec 07, 2020","33.50","33.50","33.70","33.15","17.02K","-0.15%"
"Dec 04, 2020","33.55","33.10","33.55","32.95","16.84K","0.45%"
"Dec 03, 2020","33.40","33.20","33.45","32.75","23.38K","1.21%"
"Dec 02, 2020","33.00","34.00","34.00","33.00","38.21K","-1.64%"
"Dec 01, 2020","33.55","33.80","34.30","33.50","26.44K","-0.59%"
"Nov 30, 2020","33.75","33.65","33.75","32.70","109.80K","0.15%"
"Nov 27, 2020","33.70","33.75","34.00","33.70","23.83K","-0.59%"
"Nov 26, 2020","33.90","33.50","34.00","33.50","22.24K","0.44%"
"Nov 25, 2020","33.75","33.50","33.75","33.15","20.14K","1.05%"
"Nov 24, 2020","33.40","32.65","33.40","32.40","20.00K","2.61%"
"Nov 23, 2020","32.55","32.10","32.80","32.10","15.46K","1.72%"
"Nov 20, 2020","32.00","32.10","32.15","31.70","26.85K","-0.16%"
"Nov 19, 2020","32.05","34.00","34.00","32.00","22.96K","-4.04%"
"Nov 18, 2020","33.40","33.05","33.85","32.65","34.76K","1.06%"
"Nov 17, 2020","33.05","32.55","33.10","32.30","16.01K","2.80%"
"Nov 16, 2020","32.15","31.60","32.70","31.60","18.51K","1.74%"
"Nov 13, 2020","31.60","32.50","32.70","31.60","12.88K","-3.66%"
"Nov 12, 2020","32.80","32.00","32.90","31.90","51.96K","2.82%"
"Nov 11, 2020","31.90","31.45","31.90","30.35","54.67K","2.90%"
"Nov 10, 2020","31.00","29.80","31.20","29.80","51.74K","2.82%"
"Nov 09, 2020","30.15","28.50","30.50","28.05","62.03K","7.49%"
"Nov 06, 2020","28.05","28.45","28.50","28.05","11.44K","-0.88%"
"Nov 05, 2020","28.30","28.45","28.45","28.05","15.78K","0.18%"
"Nov 04, 2020","28.25","27.25","28.40","27.25","28.15K","2.17%"
"Nov 03, 2020","27.65","27.30","27.75","27.30","32.48K","1.10%"
"Nov 02, 2020","27.35","27.00","27.35","26.80","23.13K","0.55%"
"Oct 30, 2020","27.20","27.00","27.30","26.50","23.73K","1.49%"
"Oct 29, 2020","26.80","27.15","27.55","26.35","61.38K","-1.29%"
"Oct 28, 2020","27.15","27.95","27.95","26.95","29.50K","-2.34%"
"Oct 27, 2020","27.80","28.35","28.35","27.80","37.47K","-1.24%"
"Oct 26, 2020","28.15","28.85","28.85","28.00","17.18K","-2.93%"
"Oct 23, 2020","29.00","29.30","29.65","28.85","13.38K","-2.19%"
"Oct 22, 2020","29.65","28.85","29.80","28.45","17.78K","2.95%"
"Oct 21, 2020","28.80","28.65","29.00","28.30","17.55K","0.52%"
"Oct 20, 2020","28.65","28.65","28.90","28.40","9.42K","-0.17%"
"Oct 19, 2020","28.70","28.80","29.15","28.55","9.86K","1.41%"
"Oct 16, 2020","28.30","29.30","29.30","28.30","14.89K","-4.07%"
"Oct 15, 2020","29.50","29.60","29.60","29.10","12.39K","0.00%"
"Oct 14, 2020","29.50","29.25","29.60","29.05","12.13K","-0.67%"
"Oct 13, 2020","29.70","29.70","29.75","29.25","12.55K","0.34%"
"Oct 12, 2020","29.60","29.55","29.70","29.45","4.29K","-0.17%"
"Oct 09, 2020","29.65","29.95","30.00","29.50","5.83K","-0.84%"
"Oct 08, 2020","29.90","29.90","30.15","29.60","9.11K","0.00%"
"Oct 07, 2020","29.90","30.00","30.25","29.90","13.33K","-0.33%"
"Oct 06, 2020","30.00","30.00","30.00","29.65","12.28K","1.01%"
"Oct 05, 2020","29.70","30.00","30.00","29.55","5.68K","-0.67%"
"Oct 02, 2020","29.90","29.75","30.00","29.60","14.28K","0.50%"
"Oct 01, 2020","29.75","29.85","30.15","29.40","22.43K","-0.83%"
"Sep 30, 2020","30.00","28.50","30.25","28.30","32.69K","4.53%"
"Sep 29, 2020","28.70","29.05","29.05","28.60","9.16K","-1.71%"
"Sep 28, 2020","29.20","29.00","29.35","29.00","10.88K","0.52%"
"Sep 25, 2020","29.05","29.00","29.10","28.55","18.75K","1.22%"
"Sep 24, 2020","28.70","28.25","29.00","27.95","22.23K","3.05%"
"Sep 23, 2020","27.85","29.45","29.45","27.85","34.42K","-5.27%"
"Sep 22, 2020","29.40","29.15","29.75","29.15","18.91K","0.68%"
"Sep 21, 2020","29.20","29.45","29.50","29.00","10.14K","-1.52%"
"Sep 18, 2020","29.65","30.50","30.50","29.50","48.12K","-1.98%"
"Sep 17, 2020","30.25","30.20","30.55","29.75","18.85K","-0.17%"
"Sep 16, 2020","30.30","30.00","30.35","29.95","21.25K","1.34%"
"Sep 15, 2020","29.90","29.25","29.90","29.25","14.32K","2.22%"
"Sep 14, 2020","29.25","29.15","29.40","29.15","8.44K","0.00%"
"Sep 11, 2020","29.25","29.20","29.35","28.90","28.66K","-0.17%"
"Sep 10, 2020","29.30","29.30","29.40","29.20","10.03K","0.00%"
"Sep 09, 2020","29.30","29.50","29.55","29.10","20.71K","-0.68%"
"Sep 08, 2020","29.50","29.80","29.80","29.50","10.76K","-0.17%"
"Sep 07, 2020","29.55","29.70","29.80","29.55","7.71K","0.17%"
"Sep 04, 2020","29.50","29.70","29.80","29.50","18.09K","-1.83%"
"Sep 03, 2020","30.05","30.25","30.50","29.75","11.08K","0.00%"
"Sep 02, 2020","30.05","30.00","30.25","29.75","15.84K","0.17%"
"Sep 01, 2020","30.00","30.05","30.35","29.50","26.79K","0.00%"
"Aug 31, 2020","30.00","30.35","30.40","29.60","32.56K","-0.83%"
"Aug 28, 2020","30.25","30.00","30.65","30.00","20.58K","1.51%"
"Aug 27, 2020","29.80","30.15","30.20","29.75","27.32K","-1.32%"
"Aug 26, 2020","30.20","29.90","30.75","29.90","13.97K","1.00%"
"Aug 25, 2020","29.90","30.05","30.55","29.85","9.54K","-0.83%"
"Aug 24, 2020","30.15","30.15","30.45","29.75","18.53K","0.50%"
"Aug 21, 2020","30.00","29.50","30.25","29.50","16.83K","0.17%"
"Aug 20, 2020","29.95","29.50","29.95","29.50","29.83K","1.01%"
"Aug 19, 2020","29.65","29.60","29.75","29.15","17.50K","0.34%"
"Aug 18, 2020","29.55","30.20","30.45","29.50","22.65K","-2.48%"
